Old	Updated_as
Methanobinarius_arboriphilus	Methanobrevibacter_arboriphilus
Methanobacterium_arbophilicum 	Methanobrevibacter_arboriphilus
Methanarmilla_boviskoreani	Methanobrevibacter_boviskoreani
Methanoflexus_curvatus	Methanobrevibacter_curvatus
Methanobaculum_cuticulare	Methanobrevibacter_cuticularis
Methanacia_filiformis	Methanobrevibacter_filiformis
Methanocatella_gottschalkii	Methanobrevibacter_gottschalkii
Candidatus_Methanobrevibacter_intestini	Methanobrevibacter_intestini
Methanocatella_millerae	Methanobrevibacter_millerae
Methanocatella_oralis	Methanobrevibacter_oralis
Methanobacterium_ruminantium	Methanobrevibacter_ruminantium
Methanocatella_smithii	Methanobrevibacter_smithii
Methanocatella_thaueri	Methanobrevibacter_thaueri
Methanocatella_woesei	Methanobrevibacter_woesei
Methanarmilla_wolinii	Methanobrevibacter_wolinii
Methanocrinis_harundinaceus	Methanothrix_harundinacea
Methanosaeta_harundinacea	Methanothrix_harundinacea
Methanothrix_concilii	Methanothrix_soehngenii
Methanosaeta_concilii 	Methanothrix_soehngenii
Methanosaeta_thermoacetophila	Methanothrix_thermoacetophila
Methanothrix_Methanosaeta	Methanothrix_thermoacetophila
Methanothrix_thermophila 	Methanothrix_thermoacetophila
Methanofervidicoccus_okinawensis	Methanothermococcus_okinawensis
Methanococcus_thermolithotrophicus	Methanothermococcus_thermolithotrophicus
Methanofervidicoccus_aeolicus	Methanococcus_aeolicus
Methanococcus_deltae	Methanococcus_maripaludis
Methanococcus_voltaei	Methanococcus_voltae
Methanobacterium_defluvii	Methanothermobacter_defluvii
Methanobacteriaceae_archaeon_RMAS	Methanothermobacter_tenebrarum
Methanobacterium_thermautotrophicum	Methanothermobacter_thermautotrophicus
Methanobacterium_thermoautotrophicus	Methanothermobacter_thermautotrophicus
Methanobacterium_thermoflexum	Methanothermobacter_thermoflexus
Methanobacterium_thermophilum	Methanothermobacter_thermophilus
Methanothermobacter_wolfei	Methanothermobacter_wolfeii
